Date,Region,Product,Units Sold,Price Per Unit,Total Revenue
2025-01-23,East,Product B,83,216.1,17936.3
2025-02-16,South,Product A,137,41.27,5653.990000000001
2025-03-12,North,Product E,78,472.68,36869.04
2025-04-23,South,Product D,31,437.05,13548.550000000001
2025-04-28,South,Product D,120,75.46,9055.199999999999
2025-03-23,North,Product B,155,89.01,13796.550000000001
2025-03-18,East,Product C,98,254.28,24919.44
2025-01-08,West,Product A,72,394.93,28434.96
2025-03-09,South,Product A,117,162.2,18977.399999999998
2025-05-06,East,Product E,40,418.24,16729.6
2025-03-27,West,Product E,21,231.95,4870.95
2025-03-31,East,Product B,46,460.78,21195.879999999997
2025-04-22,South,Product B,161,45.11,7262.71
2025-04-12,South,Product C,128,385.12,49295.36
2025-01-08,West,Product D,85,132.38,11252.3
2025-03-19,South,Product A,100,112.84,11284.0
2025-05-02,West,Product E,102,101.73,10376.460000000001
2025-03-25,South,Product C,56,146.37,8196.720000000001
2025-01-05,East,Product B,200,138.44,27688.0
2025-02-11,West,Product A,93,416.7,38753.1
2025-04-21,South,Product C,131,167.67,21964.769999999997
2025-02-05,East,Product E,150,494.48,74172.0
2025-01-05,North,Product D,182,314.75,57284.5
2025-05-03,East,Product C,102,161.87,16510.74
2025-03-05,South,Product E,194,134.56,26104.64
2025-01-20,East,Product D,120,400.09,48010.799999999996
2025-02-26,South,Product D,51,239.54,12216.539999999999
2025-03-22,South,Product D,155,42.01,6511.549999999999
2025-01-06,West,Product E,126,305.7,38518.2
2025-03-30,South,Product E,51,121.46,6194.46
2025-02-19,East,Product D,29,76.27,2211.83
2025-03-11,West,Product C,175,168.45,29478.749999999996
2025-03-08,East,Product C,1,259.33,259.33
2025-03-10,West,Product E,20,78.65,1573.0
2025-02-18,East,Product A,189,281.17,53141.130000000005
2025-02-23,West,Product E,124,388.69,48197.56
2025-03-28,South,Product B,116,385.24,44687.840000000004
2025-01-10,East,Product D,104,264.37,27494.48
2025-03-05,South,Product C,79,102.26,8078.54
2025-03-30,South,Product D,125,307.12,38390.0
2025-05-04,North,Product B,152,101.16,15376.32
2025-02-21,South,Product B,110,255.77,28134.7
2025-02-01,West,Product D,180,346.85,62433.00000000001
2025-02-10,West,Product C,70,435.58,30490.6
2025-04-19,West,Product B,174,329.55,57341.700000000004
2025-04-17,South,Product B,42,430.7,18089.399999999998
2025-05-06,East,Product E,109,490.1,53420.9
2025-03-04,West,Product B,168,446.07,74939.76
2025-03-19,West,Product A,31,168.61,5226.910000000001
2025-03-09,West,Product A,79,47.85,3780.15
2025-02-03,West,Product B,57,142.29,8110.53
2025-04-08,North,Product E,44,499.31,21969.64
2025-01-18,North,Product B,66,412.88,27250.079999999998
2025-03-06,East,Product A,59,231.76,13673.84
2025-03-10,West,Product B,113,102.77,11613.01
2025-04-30,South,Product E,59,23.59,1391.81
2025-04-15,North,Product A,7,478.08,3346.56
2025-02-14,West,Product A,140,363.91,50947.4
2025-03-03,North,Product C,3,493.95,1481.85
2025-03-01,North,Product A,3,248.98,746.9399999999999
2025-01-20,East,Product C,39,292.13,11393.07
2025-01-18,West,Product D,11,415.95,4575.45
2025-05-05,South,Product B,155,210.58,32639.9
2025-03-20,North,Product A,179,172.94,30956.26
2025-03-02,South,Product A,116,281.08,32605.28
2025-05-01,East,Product C,177,159.54,28238.579999999998
2025-04-07,South,Product B,182,105.4,19182.8
2025-05-05,West,Product E,199,146.96,29245.04
2025-02-06,East,Product D,12,375.14,4501.68
2025-03-16,South,Product C,74,227.04,16800.96
2025-02-09,East,Product E,81,478.54,38761.740000000005
2025-02-21,East,Product B,74,426.04,31526.960000000003
2025-04-05,West,Product C,156,218.79,34131.24
2025-03-10,South,Product A,149,364.52,54313.479999999996
2025-03-07,East,Product C,183,209.57,38351.31
2025-03-27,East,Product E,49,149.42,7321.579999999999
2025-03-12,South,Product E,59,94.12,5553.08
2025-01-31,East,Product C,80,499.74,39979.2
2025-02-02,West,Product C,159,361.7,57510.299999999996
2025-03-04,South,Product E,68,464.59,31592.12
2025-01-04,East,Product B,164,167.22,27424.079999999998
